post_id;hashtags
3088211241100809849;psicoterapiaparatodos
3088211241100809849;psicoterapiafazbem
3088211241100809849;psicologaclinica
3088211241100809849;psicologofortaleza
3088211241100809849;psiirenildamendes
3084657655683883099;psiirenildamendes
3084657655683883099;psicologofortaleza
3084657655683883099;idosossaudáveis
3084657655683883099;idososativos
3084657655683883099;autocuidado
3084657655683883099;autoconhecimento
3084657655683883099;autoestima
3083138775572450431;psicologofortaleza
3083138775572450431;psiirenildamendes
3083138775572450431;saudemental
3083138775572450431;vivaohoje
3083138775572450431;autocuidado
3083138775572450431;autoconhecimento
3083138775572450431;gratidão
3068569619061539952;ahazousaude
3068569619061539952;viverbem
3068569619061539952;qualidadedevida
3068569619061539952;bemestar
3068569619061539952;cuidese
3068569619061539952;saude
3068569619061539952;saudemental
3068569619061539952;psicologofortaleza
3068569619061539952;psicologiaonline
3068569619061539952;psiirenildamendes
3064269078357375810;diamundialdaagua
3064269078357375810;saudemental
3064269078357375810;autocuidado
3064269078357375810;autoconhecimento
3064269078357375810;autoestima
3064269078357375810;psicologofortaleza
3064269078357375810;psiirenildamendes
3063637168510205667;ahazou
3063637168510205667;diainternacionalcontraadiscriminaçãoracial
3063637168510205667;discriminaçãoracial
3063637168510205667;racismo
3063637168510205667;xenofobia
3063637168510205667;motivacional
3063637168510205667;nãoaintolerancia
3063637168510205667;psiirenildamendes
3063637168510205667;psicologofortaleza
3061435465278703782;comunicação
3061435465278703782;autoconhecimento
3061435465278703782;autocuidado
3061435465278703782;saudemental
3061435465278703782;psicologofortaleza
3061435465278703782;psiirenildamendes
3061435465278703782;saberdizernão
3060008705673093571;relacionamento
3060008705673093571;limites
3060008705673093571;autoconhecimento
3060008705673093571;autocuidado
3060008705673093571;diálogo
3060008705673093571;psicologofortaleza
3060008705673093571;psicologiaclinica
3060008705673093571;psiirenildamendes
3058527747069379976;amorproprio
3058527747069379976;autocompaixao
3058527747069379976;autocuidado
3058527747069379976;autoimagem
3058527747069379976;autoestima
3058527747069379976;psicologofortaleza
3058527747069379976;psiirenildamendes
3053904597327603750;8demarço
3053904597327603750;felizdiadasmulheres
3053904597327603750;diadamulher
3053904597327603750;psiirenildamendes
3053904597327603750;psicologofortaleza
3053904597327603750;cuidadoeafeto
3017848189499923602;autoconhecimento
3017848189499923602;autocuidado
3017848189499923602;autoestima
3017848189499923602;psicologofortaleza
3017848189499923602;psicologiaonline
3017848189499923602;psiirenildamendes
3017848189499923602;psicoterapia
3017848189499923602;ansiedade
3017848189499923602;saudemental
3017848189499923602;saudedamulher
3017848189499923602;psicologiaclinica
3009981013120957556;saudementalimporta
3009981013120957556;saudementalparatodos
3009981013120957556;saúdementaleemocional
3009981013120957556;janeirobranco
3009981013120957556;psicologosonline
3009981013120957556;psicologofortaleza
3009981013120957556;psiirenildamendes
3009264530753028558;psicologofortaleza
3009264530753028558;psicologoonline
3009264530753028558;terapia
3009264530753028558;ansiedade
3009264530753028558;autoestima
3009264530753028558;autocuidado
3009264530753028558;saudemental
3009264530753028558;janeirobranco
3007110922322763523;saúdemental
3007110922322763523;psicologaemfortaleza
3007110922322763523;terapiaonline
3007110922322763523;autocuidadoimporta
3007110922322763523;autoestima
3007110922322763523;psiirenildamendes
3007110922322763523;psicoterapia
3005449205070528365;gerandoafeto
3005449205070528365;psiirenildamendes
3005449205070528365;anonovo
3005449205070528365;2023
3005449205070528365;psicologofortaleza
3005449205070528365;psicologiaonline
3005449205070528365;psicologiaclinica
3004888867363213682;psicólogaonline
3004888867363213682;psicólogafortaleza
3004888867363213682;psicólogaclínica
3004888867363213682;psiirenildamendes
3004888867363213682;autoconhecimento
3004888867363213682;autocuidaddo
3004888867363213682;saúdemental
3004888867363213682;ansiedade
3004888867363213682;psicologiainfantil
3002779485444475811;amorproprio
3002779485444475811;autocompaixao
3002779485444475811;autocuidado
3002779485444475811;autoimagem
