user;qt_likes;qt_comments;post_date;video;video_duration;qt_views
2588906607440308068;19;4;04/06/2021 21:22;False;;0
2577299177657221942;14;10;19/05/2021 21:00;False;;0
2569970312068555905;12;8;09/05/2021 18:19;False;;0
2567911922986718983;37;10;06/05/2021 22:09;True;6.566;138
2567152244507299446;18;6;05/05/2021 21:00;True;7.133;68
2565734190293506543;19;6;03/05/2021 22:02;False;;0
2558456553817933563;21;2;23/04/2021 21:03;False;;0
2557745416327507306;14;4;22/04/2021 21:30;True;5.333;64
2555555890856232509;17;7;19/04/2021 21:00;False;;0
2550395236612593397;48;10;12/04/2021 18:07;True;14.866;271
2548328749043314821;18;4;09/04/2021 21:41;False;;0
2544473138908308063;8;2;04/04/2021 14:00;False;;0
2544012296332968140;33;17;03/04/2021 22:45;False;;0
2540849479706582327;19;4;30/03/2021 14:01;True;15.0;155
2538097917489871837;19;15;26/03/2021 18:54;False;;0
2525188985367989819;15;3;08/03/2021 23:26;False;;0
